
Predictions were generated on 11-Dec-2017 at 08:21:15 using OpenFAST, compiled as a 64-bit application using double precision at commit v1.0.0-26-g877af9d1-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; OpenFOAM Integration; AeroDyn

Description from the FAST input file: FAST Certification Test #01: Static Elliptic wing

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	OoPDefl1  	IPDefl1   	TwstDefl1 	BldPitch1 	Azimuth   	RotSpeed  	GenSpeed  	TTDspFA   	TTDspSS   	TTDspTwst 	Spn2MLxb1 	Spn2MLyb1 	RootFxb1  	RootFyb1  	RootFzb1  	RootMxb1  	RootMyb1  	RootMzb1  	RotTorq   	LSSGagMya 	LSSGagMza 	YawBrFxp  	YawBrFyp  	YawBrFzp  	YawBrMxp  	YawBrMyp  	YawBrMzp  	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	B1N1Alpha 	B1N2Alpha 	B1N3Alpha 	B1N4Alpha 	B1N5Alpha 	B1N6Alpha 	B1N7Alpha 	B1N8Alpha 	B1N9Alpha 	B1N1Cl    	B1N2Cl    	B1N3Cl    	B1N4Cl    	B1N5Cl    	B1N6Cl    	B1N7Cl    	B1N8Cl    	B1N9Cl    	B1N1Cd    	B1N2Cd    	B1N3Cd    	B1N4Cd    	B1N5Cd    	B1N6Cd    	B1N7Cd    	B1N8Cd    	B1N9Cd    	B2N1Cl    	B2N2Cl    	B2N3Cl    	B2N4Cl    	B2N5Cl    	B2N6Cl    	B2N7Cl    	B2N8Cl    	B2N9Cl    	B1N1Fx    	B1N2Fx    	B1N3Fx    	B1N4Fx    	B1N5Fx    	B1N6Fx    	B1N7Fx    	B1N8Fx    	B1N9Fx    	B1N1Fn    	B1N2Fn    	B1N3Fn    	B1N4Fn    	B1N5Fn    	B1N6Fn    	B1N7Fn    	B1N8Fn    	B1N9Fn    	B1N1Fy    	B1N2Fy    	B1N3Fy    	B1N4Fy    	B1N5Fy    	B1N6Fy    	B1N7Fy    	B1N8Fy    	B1N9Fy    	B1N1Ft    	B1N2Ft    	B1N3Ft    	B1N4Ft    	B1N5Ft    	B1N6Ft    	B1N7Ft    	B1N8Ft    	B1N9Ft    	RtAeroFxh 	RtAeroFyh 	RtAeroFzh 
(s)       	(m/s)     	(m/s)     	(m/s)     	(m)       	(m)       	(deg)     	(deg)     	(deg)     	(rpm)     	(rpm)     	(m)       	(m)       	(deg)     	(kN-m)    	(kN-m)    	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N)       	(N)       	(N)       
    0.0000	 1.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.084E-01	 1.377E+01	 2.776E+01	-3.408E+00	 0.000E+00	 1.144E+01	 9.319E+01	 0.000E+00	-7.276E-15	 0.000E+00	 1.172E+03	 0.000E+00	-0.000E+00	-2.966E+03	-7.276E-15	 1.396E+03	 0.000E+00	 0.000E+00	-0.000E+00	-6.374E+03	-7.276E-15	 1.396E+03	 0.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.879E-21	 1.855E-15	 2.442E-15	 2.752E-15	 2.874E-15	 2.752E-15	 2.442E-15	 1.855E-15	 2.879E-21	 4.667E-05	 3.007E+01	 3.959E+01	 4.460E+01	 4.659E+01	 4.460E+01	 3.959E+01	 3.007E+01	 4.667E-05	 4.702E-05	 3.030E+01	 3.989E+01	 4.494E+01	 4.694E+01	 4.494E+01	 3.989E+01	 3.030E+01	 4.702E-05	 5.730E-06	 3.692E+00	 4.861E+00	 5.477E+00	 5.720E+00	 5.477E+00	 4.861E+00	 3.692E+00	 5.730E-06	 2.227E-14	-3.637E+02	-5.698E-31
    0.0013	 1.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.114E-01	 1.415E+01	 2.812E+01	-3.452E+00	-5.698E-34	 1.166E+01	 9.500E+01	 2.226E-32	 2.364E+00	 1.448E-16	 1.172E+03	 2.227E-17	 5.698E-34	-2.967E+03	 2.364E+00	 1.395E+03	 1.448E-16	 2.227E-17	 5.698E-34	-6.374E+03	 2.364E+00	 1.395E+03	 1.448E-16	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.879E-21	 1.855E-15	 2.442E-15	 2.752E-15	 2.874E-15	 2.752E-15	 2.442E-15	 1.855E-15	 2.879E-21	 4.667E-05	 3.007E+01	 3.959E+01	 4.460E+01	 4.659E+01	 4.460E+01	 3.959E+01	 3.007E+01	 4.667E-05	 4.702E-05	 3.030E+01	 3.989E+01	 4.494E+01	 4.694E+01	 4.494E+01	 3.989E+01	 3.030E+01	 4.702E-05	 5.730E-06	 3.692E+00	 4.861E+00	 5.477E+00	 5.720E+00	 5.477E+00	 4.861E+00	 3.692E+00	 5.730E-06	 2.227E-14	-3.637E+02	-5.698E-31
    0.0025	 1.000E+01	-1.253E-07	-3.278E-04	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.114E-01	 1.415E+01	 2.812E+01	-3.452E+00	-5.698E-34	 1.166E+01	 9.500E+01	 2.226E-32	 2.364E+00	 1.448E-16	 1.172E+03	 2.227E-17	 5.698E-34	-2.967E+03	 2.364E+00	 1.395E+03	 1.448E-16	 2.227E-17	 5.698E-34	-6.374E+03	 2.364E+00	 1.395E+03	 1.448E-16	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.000E+00	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 7.676E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.879E-21	 1.855E-15	 2.442E-15	 2.752E-15	 2.874E-15	 2.752E-15	 2.442E-15	 1.855E-15	 2.879E-21	 4.667E-05	 3.007E+01	 3.959E+01	 4.460E+01	 4.659E+01	 4.460E+01	 3.959E+01	 3.007E+01	 4.667E-05	 4.702E-05	 3.030E+01	 3.989E+01	 4.494E+01	 4.694E+01	 4.494E+01	 3.989E+01	 3.030E+01	 4.702E-05	 5.730E-06	 3.692E+00	 4.861E+00	 5.477E+00	 5.720E+00	 5.477E+00	 4.861E+00	 3.692E+00	 5.730E-06	 2.227E-14	-3.637E+02	-5.698E-31
    0.0037	 1.000E+01	-2.521E-07	-6.579E-04	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.114E-01	 1.415E+01	 2.812E+01	-3.452E+00	-5.698E-34	 1.166E+01	 9.500E+01	 2.226E-32	 2.364E+00	 1.448E-16	 1.172E+03	 2.227E-17	 5.698E-34	-2.967E+03	 2.364E+00	 1.395E+03	 1.448E-16	 2.227E-17	 5.698E-34	-6.374E+03	 2.364E+00	 1.395E+03	 1.448E-16	 6.983E+00	 6.918E+00	 6.884E+00	 6.869E+00	 6.864E+00	 6.869E+00	 6.884E+00	 6.918E+00	 6.983E+00	 7.658E-01	 7.587E-01	 7.549E-01	 7.533E-01	 7.527E-01	 7.533E-01	 7.549E-01	 7.587E-01	 7.658E-01	 2.711E-20	 0.000E+00	 0.000E+00	 2.168E-19	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.376E-08	 4.266E-02	 7.966E-02	 1.007E-01	 1.095E-01	 1.007E-01	 7.966E-02	 4.266E-02	 1.376E-08	 4.656E-05	 2.973E+01	 3.894E+01	 4.378E+01	 4.569E+01	 4.378E+01	 3.894E+01	 2.973E+01	 4.656E-05	 4.690E-05	 2.994E+01	 3.923E+01	 4.410E+01	 4.602E+01	 4.410E+01	 3.923E+01	 2.994E+01	 4.690E-05	 5.703E-06	 3.607E+00	 4.701E+00	 5.274E+00	 5.500E+00	 5.274E+00	 4.701E+00	 3.607E+00	 5.703E-06	 7.219E-01	-3.577E+02	-1.894E-17
    0.0050	 1.000E+01	-3.745E-07	-9.844E-04	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.093E-01	 1.414E+01	 2.810E+01	-3.448E+00	-5.683E-20	 1.164E+01	 9.491E+01	 2.374E-18	 2.247E+00	 1.408E-02	 1.172E+03	 2.166E-03	 5.683E-20	-2.967E+03	 2.247E+00	 1.395E+03	 1.408E-02	 2.166E-03	 5.683E-20	-6.374E+03	 2.247E+00	 1.395E+03	 1.408E-02	 6.984E+00	 6.920E+00	 6.886E+00	 6.871E+00	 6.866E+00	 6.871E+00	 6.886E+00	 6.920E+00	 6.984E+00	 7.658E-01	 7.588E-01	 7.551E-01	 7.535E-01	 7.529E-01	 7.535E-01	 7.551E-01	 7.588E-01	 7.658E-01	 0.000E+00	 0.000E+00	 0.000E+00	 2.168E-19	 2.168E-19	 2.168E-19	-2.168E-19	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.338E-08	 4.197E-02	 7.838E-02	 9.904E-02	 1.077E-01	 9.904E-02	 7.838E-02	 4.197E-02	 1.338E-08	 4.656E-05	 2.973E+01	 3.895E+01	 4.380E+01	 4.571E+01	 4.380E+01	 3.895E+01	 2.973E+01	 4.656E-05	 4.691E-05	 2.995E+01	 3.924E+01	 4.411E+01	 4.604E+01	 4.411E+01	 3.924E+01	 2.995E+01	 4.691E-05	 5.703E-06	 3.608E+00	 4.704E+00	 5.278E+00	 5.504E+00	 5.278E+00	 4.704E+00	 3.608E+00	 5.703E-06	 7.101E-01	-3.578E+02	-1.864E-17
    0.0063	 1.000E+01	-4.953E-07	-1.310E-03	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.114E-01	 1.415E+01	 2.812E+01	-3.452E+00	 9.262E-22	 1.166E+01	 9.500E+01	-3.865E-20	 2.366E+00	-2.298E-04	 1.172E+03	-3.536E-05	-9.262E-22	-2.967E+03	 2.366E+00	 1.395E+03	-2.298E-04	-3.536E-05	-9.262E-22	-6.374E+03	 2.366E+00	 1.395E+03	-2.298E-04	 6.978E+00	 6.893E+00	 6.848E+00	 6.829E+00	 6.822E+00	 6.829E+00	 6.848E+00	 6.893E+00	 6.978E+00	 7.652E-01	 7.559E-01	 7.509E-01	 7.489E-01	 7.481E-01	 7.489E-01	 7.509E-01	 7.559E-01	 7.652E-01	-5.421E-20	 2.168E-19	 0.000E+00	-4.337E-19	-4.337E-19	 0.000E+00	 4.337E-19	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.798E-08	 5.575E-02	 1.037E-01	 1.308E-01	 1.422E-01	 1.308E-01	 1.037E-01	 5.575E-02	 1.798E-08	 4.652E-05	 2.962E+01	 3.874E+01	 4.353E+01	 4.542E+01	 4.353E+01	 3.874E+01	 2.962E+01	 4.652E-05	 4.687E-05	 2.983E+01	 3.902E+01	 4.384E+01	 4.574E+01	 4.384E+01	 3.902E+01	 2.983E+01	 4.687E-05	 5.694E-06	 3.580E+00	 4.652E+00	 5.213E+00	 5.433E+00	 5.213E+00	 4.652E+00	 3.580E+00	 5.694E-06	 9.389E-01	-3.559E+02	-2.464E-17
    0.0075	 1.000E+01	-6.136E-07	-1.634E-03	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.100E-01	 1.414E+01	 2.810E+01	-3.449E+00	-3.695E-20	 1.165E+01	 9.494E+01	 1.542E-18	 2.287E+00	 9.155E-03	 1.172E+03	 1.408E-03	 3.695E-20	-2.967E+03	 2.287E+00	 1.395E+03	 9.155E-03	 1.408E-03	 3.695E-20	-6.374E+03	 2.287E+00	 1.395E+03	 9.155E-03	 6.973E+00	 6.866E+00	 6.810E+00	 6.787E+00	 6.778E+00	 6.787E+00	 6.810E+00	 6.866E+00	 6.973E+00	 7.646E-01	 7.530E-01	 7.468E-01	 7.443E-01	 7.433E-01	 7.443E-01	 7.468E-01	 7.530E-01	 7.646E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-4.337E-19	 4.337E-19	-4.337E-19	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.239E-08	 6.927E-02	 1.286E-01	 1.621E-01	 1.762E-01	 1.621E-01	 1.286E-01	 6.927E-02	 2.239E-08	 4.649E-05	 2.951E+01	 3.853E+01	 4.326E+01	 4.513E+01	 4.326E+01	 3.853E+01	 2.951E+01	 4.649E-05	 4.683E-05	 2.972E+01	 3.881E+01	 4.357E+01	 4.545E+01	 4.357E+01	 3.881E+01	 2.972E+01	 4.683E-05	 5.685E-06	 3.553E+00	 4.602E+00	 5.149E+00	 5.364E+00	 5.149E+00	 4.602E+00	 3.553E+00	 5.685E-06	 1.164E+00	-3.539E+02	-3.055E-17
    0.0088	 1.000E+01	-7.290E-07	-1.957E-03	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.100E-01	 1.414E+01	 2.810E+01	-3.449E+00	-3.637E-20	 1.165E+01	 9.494E+01	 1.518E-18	 2.288E+00	 9.011E-03	 1.172E+03	 1.386E-03	 3.637E-20	-2.967E+03	 2.288E+00	 1.395E+03	 9.011E-03	 1.386E-03	 3.637E-20	-6.374E+03	 2.288E+00	 1.395E+03	 9.011E-03	 6.967E+00	 6.840E+00	 6.773E+00	 6.745E+00	 6.735E+00	 6.745E+00	 6.773E+00	 6.840E+00	 6.967E+00	 7.640E-01	 7.501E-01	 7.427E-01	 7.397E-01	 7.385E-01	 7.397E-01	 7.427E-01	 7.501E-01	 7.640E-01	 0.000E+00	 4.337E-19	 0.000E+00	 4.337E-19	 0.000E+00	 4.337E-19	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.678E-08	 8.255E-02	 1.529E-01	 1.925E-01	 2.091E-01	 1.925E-01	 1.529E-01	 8.255E-02	 2.678E-08	 4.645E-05	 2.940E+01	 3.833E+01	 4.300E+01	 4.485E+01	 4.300E+01	 3.833E+01	 2.940E+01	 4.645E-05	 4.680E-05	 2.961E+01	 3.859E+01	 4.330E+01	 4.516E+01	 4.330E+01	 3.859E+01	 2.961E+01	 4.680E-05	 5.677E-06	 3.526E+00	 4.552E+00	 5.086E+00	 5.296E+00	 5.086E+00	 4.552E+00	 3.526E+00	 5.677E-06	 1.384E+00	-3.520E+02	-3.630E-17
    0.0100	 1.000E+01	-8.407E-07	-2.278E-03	 0.000E+00	 0.000E+00	 0.000E+00	 8.300E+01	 9.000E+01	 0.000E+00	 0.000E+00	 0.000E+00	-0.000E+00	 0.000E+00	 1.098E-01	 1.414E+01	 2.810E+01	-3.449E+00	-4.188E-20	 1.165E+01	 9.493E+01	 1.747E-18	 2.276E+00	 1.038E-02	 1.172E+03	 1.597E-03	 4.188E-20	-2.967E+03	 2.276E+00	 1.395E+03	 1.038E-02	 1.597E-03	 4.188E-20	-6.374E+03	 2.276E+00	 1.395E+03	 1.038E-02	 6.962E+00	 6.814E+00	 6.736E+00	 6.704E+00	 6.692E+00	 6.704E+00	 6.736E+00	 6.814E+00	 6.962E+00	 7.635E-01	 7.473E-01	 7.387E-01	 7.352E-01	 7.338E-01	 7.352E-01	 7.387E-01	 7.473E-01	 7.635E-01	-1.084E-19	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-4.337E-19	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.114E-08	 9.564E-02	 1.768E-01	 2.223E-01	 2.414E-01	 2.223E-01	 1.768E-01	 9.564E-02	 3.114E-08	 4.642E-05	 2.928E+01	 3.812E+01	 4.274E+01	 4.456E+01	 4.274E+01	 3.812E+01	 2.928E+01	 4.642E-05	 4.676E-05	 2.949E+01	 3.838E+01	 4.304E+01	 4.487E+01	 4.304E+01	 3.838E+01	 2.949E+01	 4.676E-05	 5.668E-06	 3.499E+00	 4.502E+00	 5.024E+00	 5.229E+00	 5.024E+00	 4.502E+00	 3.499E+00	 5.668E-06	 1.599E+00	-3.501E+02	-4.194E-17
