# x, y, z, fx, fy, fz
-5.0191, 0, 89.5626, 0, 0, 0 
-5.0191, -1.5, 89.5626, 0.000378268, 7.1023e-21, -0.258115 
-5.0191, -1.70408, 89.5626, 0.00226975, 4.26138e-20, -1.54867 
-5.0191, -1.90816, 89.5626, 0.00454318, 8.52952e-20, -3.09703 
-5.0191, -2.11224, 89.5626, 0.0098907, 1.8569e-19, -4.38862 
-5.0191, -2.31633, 89.5626, 0.0239143, 4.48973e-19, -4.95551 
-5.0191, -2.52041, 89.5626, 0.0394471, 7.35427e-19, -5.39514 
-5.0191, -2.72449, 89.5626, 0.0535071, 2.67717e-19, -5.78878 
-5.0191, -2.92857, 89.5626, 0.0645883, -1.72524e-18, -6.08941 
-5.0191, -3.13265, 89.5626, 0.0752738, -3.85232e-18, -6.37838 
-5.0191, -3.33673, 89.5626, 0.0840648, -3.36972e-18, -6.64421 
-5.0191, -3.54082, 89.5626, 0.0900685, 9.5199e-19, -6.876 
-5.0191, -3.7449, 89.5626, 0.0958108, 5.49317e-18, -7.10412 
-5.0191, -3.94898, 89.5626, 0.100535, 7.70493e-18, -7.30707 
-5.0191, -4.15306, 89.5626, 0.10416, 7.40145e-18, -7.48284 
-5.0191, -4.35714, 89.5626, 0.107692, 6.93449e-18, -7.65555 
-5.0191, -4.56122, 89.5626, 0.11064, 5.86512e-18, -7.80135 
-5.0191, -4.76531, 89.5626, 0.113122, 4.31746e-18, -7.92579 
-5.0191, -4.96939, 89.5626, 0.11554, 2.79693e-18, -8.04702 
-5.0191, -5.17347, 89.5626, 0.117433, 1.68402e-18, -8.14194 
-5.0191, -5.37755, 89.5626, 0.119022, 8.07798e-19, -8.22158 
-5.0191, -5.58163, 89.5626, 0.120531, 9.88123e-20, -8.29725 
-5.0191, -5.78571, 89.5626, 0.121519, 5.16547e-19, -8.34706 
-5.0191, -5.9898, 89.5626, 0.122289, 1.40689e-18, -8.38604 
-5.0191, -6.19388, 89.5626, 0.122952, 2.17491e-18, -8.41957 
-5.0191, -6.39796, 89.5626, 0.123104, 2.35128e-18, -8.42726 
-5.0191, -6.60204, 89.5626, 0.123104, 2.35134e-18, -8.42726 
-5.0191, -6.80612, 89.5626, 0.122952, 2.53003e-18, -8.41957 
-5.0191, -7.0102, 89.5626, 0.122289, 3.30807e-18, -8.38604 
-5.0191, -7.21429, 89.5626, 0.121519, 4.20999e-18, -8.34706 
-5.0191, -7.41837, 89.5626, 0.120531, 4.62309e-18, -8.29725 
-5.0191, -7.62245, 89.5626, 0.119022, 3.87081e-18, -8.22157 
-5.0191, -7.82653, 89.5626, 0.117433, 2.95221e-18, -8.14196 
-5.0191, -8.03061, 89.5626, 0.11554, 2.33006e-18, -8.04704 
-5.0191, -8.23469, 89.5626, 0.113122, 2.21844e-18, -7.92578 
-5.0191, -8.43878, 89.5626, 0.11064, 2.17444e-18, -7.80135 
-5.0191, -8.64286, 89.5626, 0.107692, 2.75227e-18, -7.65555 
-5.0191, -8.84694, 89.5626, 0.10416, 4.1133e-18, -7.48285 
-5.0191, -9.05102, 89.5626, 0.100535, 5.46543e-18, -7.30707 
-5.0191, -9.2551, 89.5626, 0.0958107, 5.63453e-18, -7.10411 
-5.0191, -9.45918, 89.5626, 0.0900685, 4.70802e-18, -6.876 
-5.0191, -9.66327, 89.5626, 0.0840648, 3.7468e-18, -6.64421 
-5.0191, -9.86735, 89.5626, 0.0752739, 2.86815e-18, -6.37838 
-5.0191, -10.0714, 89.5626, 0.0645882, 2.04562e-18, -6.0894 
-5.0191, -10.2755, 89.5626, 0.053507, 1.26214e-18, -5.78877 
-5.0191, -10.4796, 89.5626, 0.0394472, 7.93352e-19, -5.39514 
-5.0191, -10.6837, 89.5626, 0.0239143, 4.80161e-19, -4.95552 
-5.0191, -10.8878, 89.5626, 0.00989066, 1.98589e-19, -4.38862 
-5.0191, -11.0918, 89.5626, 0.00454316, 9.12198e-20, -3.09703 
-5.0191, -11.2959, 89.5626, 0.00226974, 4.55737e-20, -1.54867 
-5.0191, -11.5, 89.5626, 0.000378265, 7.59561e-21, -0.258115 
-5.0191, 1.5, 89.5626, 0, 0, 0 
-5.0191, 1.70408, 89.5626, 0, 0, 0 
-5.0191, 1.90816, 89.5626, 0, 0, 0 
-5.0191, 2.11224, 89.5626, 0, 0, 0 
-5.0191, 2.31633, 89.5626, 0, 0, 0 
-5.0191, 2.52041, 89.5626, 0, 0, 0 
-5.0191, 2.72449, 89.5626, 0, 0, 0 
-5.0191, 2.92857, 89.5626, 0, 0, 0 
-5.0191, 3.13265, 89.5626, 0, 0, 0 
-5.0191, 3.33673, 89.5626, 0, 0, 0 
-5.0191, 3.54082, 89.5626, 0, 0, 0 
-5.0191, 3.7449, 89.5626, 0, 0, 0 
-5.0191, 3.94898, 89.5626, 0, 0, 0 
-5.0191, 4.15306, 89.5626, 0, 0, 0 
-5.0191, 4.35714, 89.5626, 0, 0, 0 
-5.0191, 4.56122, 89.5626, 0, 0, 0 
-5.0191, 4.76531, 89.5626, 0, 0, 0 
-5.0191, 4.96939, 89.5626, 0, 0, 0 
-5.0191, 5.17347, 89.5626, 0, 0, 0 
-5.0191, 5.37755, 89.5626, 0, 0, 0 
-5.0191, 5.58163, 89.5626, 0, 0, 0 
-5.0191, 5.78571, 89.5626, 0, 0, 0 
-5.0191, 5.9898, 89.5626, 0, 0, 0 
-5.0191, 6.19388, 89.5626, 0, 0, 0 
-5.0191, 6.39796, 89.5626, 0, 0, 0 
-5.0191, 6.60204, 89.5626, 0, 0, 0 
-5.0191, 6.80612, 89.5626, 0, 0, 0 
-5.0191, 7.0102, 89.5626, 0, 0, 0 
-5.0191, 7.21429, 89.5626, 0, 0, 0 
-5.0191, 7.41837, 89.5626, 0, 0, 0 
-5.0191, 7.62245, 89.5626, 0, 0, 0 
-5.0191, 7.82653, 89.5626, 0, 0, 0 
-5.0191, 8.03061, 89.5626, 0, 0, 0 
-5.0191, 8.23469, 89.5626, 0, 0, 0 
-5.0191, 8.43878, 89.5626, 0, 0, 0 
-5.0191, 8.64286, 89.5626, 0, 0, 0 
-5.0191, 8.84694, 89.5626, 0, 0, 0 
-5.0191, 9.05102, 89.5626, 0, 0, 0 
-5.0191, 9.2551, 89.5626, 0, 0, 0 
-5.0191, 9.45918, 89.5626, 0, 0, 0 
-5.0191, 9.66327, 89.5626, 0, 0, 0 
-5.0191, 9.86735, 89.5626, 0, 0, 0 
-5.0191, 10.0714, 89.5626, 0, 0, 0 
-5.0191, 10.2755, 89.5626, 0, 0, 0 
-5.0191, 10.4796, 89.5626, 0, 0, 0 
-5.0191, 10.6837, 89.5626, 0, 0, 0 
-5.0191, 10.8878, 89.5626, 0, 0, 0 
-5.0191, 11.0918, 89.5626, 0, 0, 0 
-5.0191, 11.2959, 89.5626, 0, 0, 0 
-5.0191, 11.5, 89.5626, 0, 0, 0 
