# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.0012, -0.000389851, -0.0918195 
-5.0191, -1.5, 89.5626, 10.0027, -0.000675924, -0.0714403 
-5.0191, -1.70408, 89.5626, 10.0028, -0.000683964, -0.0441082 
-5.0191, -1.90816, 89.5626, 10.0028, -0.00066209, -0.0133426 
-5.0191, -2.11224, 89.5626, 10.0027, -0.000603781, 0.0183943 
-5.0191, -2.31633, 89.5626, 10.0025, -0.000508905, 0.0480456 
-5.0191, -2.52041, 89.5626, 10.0021, -0.000390266, 0.0738683 
-5.0191, -2.72449, 89.5626, 10.0015, -0.000261514, 0.0944275 
-5.0191, -2.92857, 89.5626, 10.0009, -0.000139687, 0.109718 
-5.0191, -3.13265, 89.5626, 10.0002, -3.58318e-05, 0.120645 
-5.0191, -3.33673, 89.5626, 9.99951, 3.83692e-05, 0.127775 
-5.0191, -3.54082, 89.5626, 9.99887, 8.31216e-05, 0.132528 
-5.0191, -3.7449, 89.5626, 9.99829, 0.000103857, 0.135713 
-5.0191, -3.94898, 89.5626, 9.9978, 0.000103906, 0.137855 
-5.0191, -4.15306, 89.5626, 9.99738, 9.16727e-05, 0.139495 
-5.0191, -4.35714, 89.5626, 9.99703, 7.51248e-05, 0.140798 
-5.0191, -4.56122, 89.5626, 9.99674, 5.48131e-05, 0.141872 
-5.0191, -4.76531, 89.5626, 9.9965, 3.68631e-05, 0.142815 
-5.0191, -4.96939, 89.5626, 9.9963, 2.26815e-05, 0.1436 
-5.0191, -5.17347, 89.5626, 9.99614, 1.05698e-05, 0.144269 
-5.0191, -5.37755, 89.5626, 9.996, 3.33416e-06, 0.144825 
-5.0191, -5.58163, 89.5626, 9.99589, -1.48989e-06, 0.145263 
-5.0191, -5.78571, 89.5626, 9.99581, -4.52902e-06, 0.145603 
-5.0191, -5.9898, 89.5626, 9.99575, -4.32377e-06, 0.145864 
-5.0191, -6.19388, 89.5626, 9.99571, -2.77272e-06, 0.14601 
-5.0191, -6.39796, 89.5626, 9.99569, -2.01034e-06, 0.146099 
-5.0191, -6.60204, 89.5626, 9.99569, 2.01071e-06, 0.146099 
-5.0191, -6.80612, 89.5626, 9.99571, 2.77316e-06, 0.14601 
-5.0191, -7.0102, 89.5626, 9.99575, 4.32415e-06, 0.145864 
-5.0191, -7.21429, 89.5626, 9.99581, 4.52936e-06, 0.145603 
-5.0191, -7.41837, 89.5626, 9.99589, 1.49023e-06, 0.145263 
-5.0191, -7.62245, 89.5626, 9.996, -3.33412e-06, 0.144825 
-5.0191, -7.82653, 89.5626, 9.99614, -1.057e-05, 0.144269 
-5.0191, -8.03061, 89.5626, 9.9963, -2.2682e-05, 0.1436 
-5.0191, -8.23469, 89.5626, 9.9965, -3.68639e-05, 0.142815 
-5.0191, -8.43878, 89.5626, 9.99674, -5.4814e-05, 0.141872 
-5.0191, -8.64286, 89.5626, 9.99703, -7.51259e-05, 0.140798 
-5.0191, -8.84694, 89.5626, 9.99738, -9.16735e-05, 0.139495 
-5.0191, -9.05102, 89.5626, 9.9978, -0.000103907, 0.137855 
-5.0191, -9.2551, 89.5626, 9.99829, -0.000103857, 0.135713 
-5.0191, -9.45918, 89.5626, 9.99887, -8.31216e-05, 0.132528 
-5.0191, -9.66327, 89.5626, 9.99951, -3.83692e-05, 0.127775 
-5.0191, -9.86735, 89.5626, 10.0002, 3.58321e-05, 0.120645 
-5.0191, -10.0714, 89.5626, 10.0009, 0.000139687, 0.109718 
-5.0191, -10.2755, 89.5626, 10.0015, 0.000261514, 0.0944275 
-5.0191, -10.4796, 89.5626, 10.0021, 0.000390266, 0.0738683 
-5.0191, -10.6837, 89.5626, 10.0025, 0.000508905, 0.0480455 
-5.0191, -10.8878, 89.5626, 10.0027, 0.000603781, 0.0183942 
-5.0191, -11.0918, 89.5626, 10.0028, 0.00066209, -0.0133426 
-5.0191, -11.2959, 89.5626, 10.0028, 0.000683964, -0.0441082 
-5.0191, -11.5, 89.5626, 10.0027, 0.000675924, -0.0714403 
-5.0191, 1.5, 89.5626, 10.0006, -0.000255783, -0.0491123 
-5.0191, 1.70408, 89.5626, 10.0005, -0.00024486, -0.0458401 
-5.0191, 1.90816, 89.5626, 10.0005, -0.000234897, -0.0429125 
-5.0191, 2.11224, 89.5626, 10.0004, -0.000225806, -0.0402931 
-5.0191, 2.31633, 89.5626, 10.0004, -0.000217512, -0.037951 
-5.0191, 2.52041, 89.5626, 10.0004, -0.000209845, -0.0358253 
-5.0191, 2.72449, 89.5626, 10.0003, -0.000202771, -0.0339036 
-5.0191, 2.92857, 89.5626, 10.0003, -0.0001962, -0.0321559 
-5.0191, 3.13265, 89.5626, 10.0003, -0.000190043, -0.0305529 
-5.0191, 3.33673, 89.5626, 10.0003, -0.000184289, -0.0290927 
-5.0191, 3.54082, 89.5626, 10.0002, -0.000178856, -0.0277476 
-5.0191, 3.7449, 89.5626, 10.0002, -0.000173704, -0.0265053 
-5.0191, 3.94898, 89.5626, 10.0002, -0.000168822, -0.0253646 
-5.0191, 4.15306, 89.5626, 10.0002, -0.000164148, -0.0243047 
-5.0191, 4.35714, 89.5626, 10.0002, -0.000159668, -0.0233221 
-5.0191, 4.56122, 89.5626, 10.0002, -0.000155359, -0.0224113 
-5.0191, 4.76531, 89.5626, 10.0002, -0.000151189, -0.0215605 
-5.0191, 4.96939, 89.5626, 10.0001, -0.00014715, -0.0207698 
-5.0191, 5.17347, 89.5626, 10.0001, -0.000143219, -0.0200313 
-5.0191, 5.37755, 89.5626, 10.0001, -0.000139378, -0.0193387 
-5.0191, 5.58163, 89.5626, 10.0001, -0.000135623, -0.0186938 
-5.0191, 5.78571, 89.5626, 10.0001, -0.000131935, -0.0180879 
-5.0191, 5.9898, 89.5626, 10.0001, -0.000128304, -0.0175189 
-5.0191, 6.19388, 89.5626, 10.0001, -0.000124725, -0.0169867 
-5.0191, 6.39796, 89.5626, 10.0001, -0.000121185, -0.0164851 
-5.0191, 6.60204, 89.5626, 10.0001, -0.00011768, -0.0160142 
-5.0191, 6.80612, 89.5626, 10.0001, -0.000114203, -0.0155717 
-5.0191, 7.0102, 89.5626, 10.0001, -0.000110748, -0.0151541 
-5.0191, 7.21429, 89.5626, 10.0001, -0.00010731, -0.0147622 
-5.0191, 7.41837, 89.5626, 10.0001, -0.000103884, -0.0143928 
-5.0191, 7.62245, 89.5626, 10.0001, -0.000100467, -0.0140441 
-5.0191, 7.82653, 89.5626, 10.0001, -9.70573e-05, -0.0137172 
-5.0191, 8.03061, 89.5626, 10, -9.36504e-05, -0.0134084 
-5.0191, 8.23469, 89.5626, 10, -9.02438e-05, -0.0131176 
-5.0191, 8.43878, 89.5626, 10, -8.68344e-05, -0.0128447 
-5.0191, 8.64286, 89.5626, 10, -8.34213e-05, -0.0125871 
-5.0191, 8.84694, 89.5626, 10, -8.00044e-05, -0.0123455 
-5.0191, 9.05102, 89.5626, 10, -7.65825e-05, -0.0121186 
-5.0191, 9.2551, 89.5626, 10, -7.31546e-05, -0.011905 
-5.0191, 9.45918, 89.5626, 10, -6.97151e-05, -0.0117058 
-5.0191, 9.66327, 89.5626, 10, -6.62662e-05, -0.0115189 
-5.0191, 9.86735, 89.5626, 10, -6.28086e-05, -0.011344 
-5.0191, 10.0714, 89.5626, 10, -5.93462e-05, -0.0111818 
-5.0191, 10.2755, 89.5626, 10, -5.58761e-05, -0.0110304 
-5.0191, 10.4796, 89.5626, 10, -5.2394e-05, -0.0108901 
-5.0191, 10.6837, 89.5626, 10, -4.88967e-05, -0.0107608 
-5.0191, 10.8878, 89.5626, 10, -4.5389e-05, -0.0106412 
-5.0191, 11.0918, 89.5626, 10, -4.18802e-05, -0.0105322 
-5.0191, 11.2959, 89.5626, 10, -3.83688e-05, -0.010433 
-5.0191, 11.5, 89.5626, 10, -3.48528e-05, -0.0103428 
