# x, y, z, fx, fy, fz
-5.0191, 0, 89.5626, 0, 0, 0 
-5.0191, -1.5, 89.5626, 0.0012938, 2.42916e-20, -0.250425 
-5.0191, -1.70408, 89.5626, 0.00776315, 1.45749e-19, -1.50253 
-5.0191, -1.90816, 89.5626, 0.0155296, 2.91557e-19, -3.00474 
-5.0191, -2.11224, 89.5626, 0.0259201, 4.8663e-19, -4.25052 
-5.0191, -2.31633, 89.5626, 0.0437167, 8.20748e-19, -4.77253 
-5.0191, -2.52041, 89.5626, 0.0627827, 1.17271e-18, -5.16764 
-5.0191, -2.72449, 89.5626, 0.0779196, 6.08435e-19, -5.54323 
-5.0191, -2.92857, 89.5626, 0.0851105, -1.80886e-18, -5.87934 
-5.0191, -3.13265, 89.5626, 0.0913306, -4.39229e-18, -6.21002 
-5.0191, -3.33673, 89.5626, 0.0969119, -3.9714e-18, -6.50607 
-5.0191, -3.54082, 89.5626, 0.101553, 8.69167e-19, -6.75117 
-5.0191, -3.7449, 89.5626, 0.106097, 5.96445e-18, -6.99109 
-5.0191, -3.94898, 89.5626, 0.110052, 8.4326e-18, -7.20157 
-5.0191, -4.15306, 89.5626, 0.113369, 8.06407e-18, -7.38028 
-5.0191, -4.35714, 89.5626, 0.116622, 7.5143e-18, -7.55565 
-5.0191, -4.56122, 89.5626, 0.119346, 6.33431e-18, -7.70357 
-5.0191, -4.76531, 89.5626, 0.121651, 4.65395e-18, -7.82968 
-5.0191, -4.96939, 89.5626, 0.123895, 3.00428e-18, -7.95256 
-5.0191, -5.17347, 89.5626, 0.125647, 1.80459e-18, -8.04884 
-5.0191, -5.37755, 89.5626, 0.127112, 8.66176e-19, -8.12966 
-5.0191, -5.58163, 89.5626, 0.128504, 1.06326e-19, -8.20646 
-5.0191, -5.78571, 89.5626, 0.129416, 5.48793e-19, -8.257 
-5.0191, -5.9898, 89.5626, 0.130129, 1.49558e-18, -8.29653 
-5.0191, -6.19388, 89.5626, 0.130741, 2.31229e-18, -8.33053 
-5.0191, -6.39796, 89.5626, 0.130882, 2.49985e-18, -8.33833 
-5.0191, -6.60204, 89.5626, 0.130882, 2.49991e-18, -8.33833 
-5.0191, -6.80612, 89.5626, 0.130741, 2.69074e-18, -8.33053 
-5.0191, -7.0102, 89.5626, 0.130129, 3.5217e-18, -8.29653 
-5.0191, -7.21429, 89.5626, 0.129416, 4.48496e-18, -8.25699 
-5.0191, -7.41837, 89.5626, 0.128503, 4.92793e-18, -8.20645 
-5.0191, -7.62245, 89.5626, 0.127112, 4.13048e-18, -8.12965 
-5.0191, -7.82653, 89.5626, 0.125647, 3.15602e-18, -8.04885 
-5.0191, -8.03061, 89.5626, 0.123895, 2.49818e-18, -7.95258 
-5.0191, -8.23469, 89.5626, 0.121651, 2.38561e-18, -7.82968 
-5.0191, -8.43878, 89.5626, 0.119346, 2.34581e-18, -7.70357 
-5.0191, -8.64286, 89.5626, 0.116622, 2.98998e-18, -7.55565 
-5.0191, -8.84694, 89.5626, 0.11337, 4.49563e-18, -7.38028 
-5.0191, -9.05102, 89.5626, 0.110052, 5.99316e-18, -7.20157 
-5.0191, -9.2551, 89.5626, 0.106098, 6.22292e-18, -6.99108 
-5.0191, -9.45918, 89.5626, 0.101553, 5.27859e-18, -6.75117 
-5.0191, -9.66327, 89.5626, 0.0969119, 4.29723e-18, -6.50608 
-5.0191, -9.86735, 89.5626, 0.0913306, 3.40643e-18, -6.21002 
-5.0191, -10.0714, 89.5626, 0.0851104, 2.5772e-18, -5.87933 
-5.0191, -10.2755, 89.5626, 0.0779195, 1.78228e-18, -5.54322 
-5.0191, -10.4796, 89.5626, 0.0627827, 1.2621e-18, -5.16765 
-5.0191, -10.6837, 89.5626, 0.0437168, 8.77762e-19, -4.77254 
-5.0191, -10.8878, 89.5626, 0.0259201, 5.20433e-19, -4.25052 
-5.0191, -11.0918, 89.5626, 0.0155295, 3.1181e-19, -3.00474 
-5.0191, -11.2959, 89.5626, 0.00776313, 1.55874e-19, -1.50252 
-5.0191, -11.5, 89.5626, 0.00129379, 2.59789e-20, -0.250424 
-5.0191, 1.5, 89.5626, 0, 0, 0 
-5.0191, 1.70408, 89.5626, 0, 0, 0 
-5.0191, 1.90816, 89.5626, 0, 0, 0 
-5.0191, 2.11224, 89.5626, 0, 0, 0 
-5.0191, 2.31633, 89.5626, 0, 0, 0 
-5.0191, 2.52041, 89.5626, 0, 0, 0 
-5.0191, 2.72449, 89.5626, 0, 0, 0 
-5.0191, 2.92857, 89.5626, 0, 0, 0 
-5.0191, 3.13265, 89.5626, 0, 0, 0 
-5.0191, 3.33673, 89.5626, 0, 0, 0 
-5.0191, 3.54082, 89.5626, 0, 0, 0 
