# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.0016, -0.000737555, -0.0937894 
-5.0191, -1.5, 89.5626, 10.0059, -0.00224445, -0.170004 
-5.0191, -2.08824, 89.5626, 10.0072, -0.00245836, 0.0517053 
-5.0191, -2.67647, 89.5626, 10.0023, -0.00107669, 0.141553 
-5.0191, -3.26471, 89.5626, 9.99787, -0.00107345, 0.148411 
-5.0191, -3.85294, 89.5626, 9.99592, -0.00114166, 0.152382 
-5.0191, -4.44118, 89.5626, 9.99477, -0.00100167, 0.154576 
-5.0191, -5.02941, 89.5626, 9.99406, -0.000763143, 0.155834 
-5.0191, -5.61765, 89.5626, 9.99363, -0.000472362, 0.156543 
-5.0191, -6.20588, 89.5626, 9.99343, -0.000160192, 0.156861 
-5.0191, -6.79412, 89.5626, 9.99343, 0.000160193, 0.156861 
-5.0191, -7.38235, 89.5626, 9.99363, 0.000472361, 0.156543 
-5.0191, -7.97059, 89.5626, 9.99406, 0.000763146, 0.155834 
-5.0191, -8.55882, 89.5626, 9.99477, 0.00100166, 0.154576 
-5.0191, -9.14706, 89.5626, 9.99592, 0.00114166, 0.152382 
-5.0191, -9.73529, 89.5626, 9.99787, 0.00107345, 0.148411 
-5.0191, -10.3235, 89.5626, 10.0023, 0.00107669, 0.141553 
-5.0191, -10.9118, 89.5626, 10.0072, 0.00245836, 0.0517053 
-5.0191, -11.5, 89.5626, 10.0059, 0.00224445, -0.170004 
-5.0191, 1.5, 89.5626, 10.0007, -0.000398498, -0.0481151 
-5.0191, 2.08824, 89.5626, 10.0005, -0.000334341, -0.0397948 
-5.0191, 2.67647, 89.5626, 10.0004, -0.000287181, -0.0336858 
-5.0191, 3.26471, 89.5626, 10.0003, -0.000251123, -0.0290394 
-5.0191, 3.85294, 89.5626, 10.0003, -0.00022255, -0.0254102 
-5.0191, 4.44118, 89.5626, 10.0002, -0.000199136, -0.0225164 
-5.0191, 5.02941, 89.5626, 10.0002, -0.000179329, -0.0201702 
-5.0191, 5.61765, 89.5626, 10.0001, -0.000162077, -0.0182437 
-5.0191, 6.20588, 89.5626, 10.0001, -0.000146647, -0.016646 
-5.0191, 6.79412, 89.5626, 10.0001, -0.000132528, -0.015313 
-5.0191, 7.38235, 89.5626, 10.0001, -0.000119342, -0.0141952 
-5.0191, 7.97059, 89.5626, 10.0001, -0.000106818, -0.0132548 
-5.0191, 8.55882, 89.5626, 10, -9.4761e-05, -0.012464 
-5.0191, 9.14706, 89.5626, 10, -8.3036e-05, -0.0118017 
-5.0191, 9.73529, 89.5626, 10, -7.15336e-05, -0.0112514 
-5.0191, 10.3235, 89.5626, 10, -6.01952e-05, -0.0108002 
-5.0191, 10.9118, 89.5626, 10, -4.89436e-05, -0.0104381 
-5.0191, 11.5, 89.5626, 10, -3.77893e-05, -0.0101579 
