# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.0016, -0.000720448, -0.0934663 
-5.0191, -1.5, 89.5626, 10.006, -0.00349572, -0.165939 
-5.0191, -1.70408, 89.5626, 10.0071, -0.00439068, -0.0950154 
-5.0191, -1.90816, 89.5626, 10.0082, -0.00410238, -0.0120832 
-5.0191, -2.11224, 89.5626, 10.0081, -0.00312435, 0.0613114 
-5.0191, -2.31633, 89.5626, 10.0072, -0.00216593, 0.113284 
-5.0191, -2.52041, 89.5626, 10.0065, -0.00186395, 0.140842 
-5.0191, -2.72449, 89.5626, 10.0049, -0.00180825, 0.14993 
-5.0191, -2.92857, 89.5626, 10.0036, -0.00137275, 0.153183 
-5.0191, -3.13265, 89.5626, 10.0026, -0.00108418, 0.155039 
-5.0191, -3.33673, 89.5626, 10.0017, -0.00102267, 0.156822 
-5.0191, -3.54082, 89.5626, 10.0011, -0.0010949, 0.158826 
-5.0191, -3.7449, 89.5626, 10.0006, -0.00105943, 0.160469 
-5.0191, -3.94898, 89.5626, 10.0005, -0.00109642, 0.161741 
-5.0191, -4.15306, 89.5626, 10.0001, -0.00105378, 0.162747 
-5.0191, -4.35714, 89.5626, 9.99987, -0.00104169, 0.163594 
-5.0191, -4.56122, 89.5626, 9.99977, -0.00101122, 0.164314 
-5.0191, -4.76531, 89.5626, 9.99952, -0.000826384, 0.164883 
-5.0191, -4.96939, 89.5626, 9.99935, -0.000768557, 0.165356 
-5.0191, -5.17347, 89.5626, 9.99925, -0.0007004, 0.165794 
-5.0191, -5.37755, 89.5626, 9.99918, -0.00064736, 0.166133 
-5.0191, -5.58163, 89.5626, 9.9991, -0.000574253, 0.166396 
-5.0191, -5.78571, 89.5626, 9.999, -0.000452725, 0.166612 
-5.0191, -5.9898, 89.5626, 9.99895, -0.000316701, 0.166743 
-5.0191, -6.19388, 89.5626, 9.99892, -0.000187528, 0.166811 
-5.0191, -6.39796, 89.5626, 9.99891, -6.20836e-05, 0.166853 
-5.0191, -6.60204, 89.5626, 9.99891, 6.20834e-05, 0.166853 
-5.0191, -6.80612, 89.5626, 9.99892, 0.000187528, 0.166811 
-5.0191, -7.0102, 89.5626, 9.99895, 0.000316701, 0.166743 
-5.0191, -7.21429, 89.5626, 9.999, 0.000452722, 0.166612 
-5.0191, -7.41837, 89.5626, 9.9991, 0.000574251, 0.166396 
-5.0191, -7.62245, 89.5626, 9.99918, 0.000647362, 0.166133 
-5.0191, -7.82653, 89.5626, 9.99925, 0.000700404, 0.165794 
-5.0191, -8.03061, 89.5626, 9.99935, 0.000768559, 0.165356 
-5.0191, -8.23469, 89.5626, 9.99952, 0.00082638, 0.164883 
-5.0191, -8.43878, 89.5626, 9.99977, 0.00101122, 0.164314 
-5.0191, -8.64286, 89.5626, 9.99987, 0.00104168, 0.163594 
-5.0191, -8.84694, 89.5626, 10.0001, 0.00105378, 0.162747 
-5.0191, -9.05102, 89.5626, 10.0005, 0.00109642, 0.161741 
-5.0191, -9.2551, 89.5626, 10.0006, 0.00105943, 0.160469 
-5.0191, -9.45918, 89.5626, 10.0011, 0.0010949, 0.158827 
-5.0191, -9.66327, 89.5626, 10.0017, 0.00102267, 0.156822 
-5.0191, -9.86735, 89.5626, 10.0026, 0.00108418, 0.155039 
-5.0191, -10.0714, 89.5626, 10.0036, 0.00137275, 0.153183 
-5.0191, -10.2755, 89.5626, 10.0049, 0.00180825, 0.14993 
-5.0191, -10.4796, 89.5626, 10.0065, 0.00186394, 0.140842 
-5.0191, -10.6837, 89.5626, 10.0072, 0.00216593, 0.113284 
-5.0191, -10.8878, 89.5626, 10.0081, 0.00312435, 0.0613114 
-5.0191, -11.0918, 89.5626, 10.0082, 0.00410239, -0.0120832 
-5.0191, -11.2959, 89.5626, 10.0071, 0.00439068, -0.0950155 
-5.0191, -11.5, 89.5626, 10.006, 0.00349572, -0.165939 
-5.0191, 1.5, 89.5626, 10.0007, -0.000351699, -0.0478737 
-5.0191, 1.70408, 89.5626, 10.0006, -0.000328266, -0.0447131 
-5.0191, 1.90816, 89.5626, 10.0006, -0.000309487, -0.0418782 
-5.0191, 2.11224, 89.5626, 10.0005, -0.000292578, -0.0393274 
-5.0191, 2.31633, 89.5626, 10.0005, -0.000276978, -0.0370245 
-5.0191, 2.52041, 89.5626, 10.0004, -0.000263335, -0.0349383 
-5.0191, 2.72449, 89.5626, 10.0004, -0.000250798, -0.0330677 
-5.0191, 2.92857, 89.5626, 10.0004, -0.000239624, -0.0313747 
-5.0191, 3.13265, 89.5626, 10.0003, -0.000229293, -0.0298197 
-5.0191, 3.33673, 89.5626, 10.0003, -0.000219746, -0.0283887 
-5.0191, 3.54082, 89.5626, 10.0003, -0.000210934, -0.0270695 
-5.0191, 3.7449, 89.5626, 10.0003, -0.000202718, -0.0258536 
-5.0191, 3.94898, 89.5626, 10.0003, -0.000195198, -0.024748 
-5.0191, 4.15306, 89.5626, 10.0002, -0.000188105, -0.0237194 
-5.0191, 4.35714, 89.5626, 10.0002, -0.000181419, -0.0227615 
-5.0191, 4.56122, 89.5626, 10.0002, -0.000175099, -0.0218685 
-5.0191, 4.76531, 89.5626, 10.0002, -0.000169085, -0.021035 
-5.0191, 4.96939, 89.5626, 10.0002, -0.000163424, -0.0202655 
-5.0191, 5.17347, 89.5626, 10.0002, -0.00015801, -0.0195486 
