# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.001, -0.000545147, -0.0917413 
-5.0191, -1.5, 89.5626, 10.0028, -0.000345058, -0.0694114 
-5.0191, -2.08824, 89.5626, 10.0024, -0.000257839, 0.0162283 
-5.0191, -2.67647, 89.5626, 10.0023, -0.000292436, 0.090165 
-5.0191, -3.26471, 89.5626, 10.0013, -0.000169579, 0.128105 
-5.0191, -3.85294, 89.5626, 10.0001, -0.000179234, 0.141582 
-5.0191, -4.44118, 89.5626, 9.9992, -9.68283e-05, 0.146555 
-5.0191, -5.02941, 89.5626, 9.99872, -0.000204316, 0.149261 
-5.0191, -5.61765, 89.5626, 9.99837, -8.4493e-05, 0.15091 
-5.0191, -6.20588, 89.5626, 9.99824, -4.06971e-05, 0.151636 
-5.0191, -6.79412, 89.5626, 9.99824, 4.06971e-05, 0.151636 
-5.0191, -7.38235, 89.5626, 9.99837, 8.44935e-05, 0.15091 
-5.0191, -7.97059, 89.5626, 9.99872, 0.000204315, 0.149261 
-5.0191, -8.55882, 89.5626, 9.9992, 9.68274e-05, 0.146555 
-5.0191, -9.14706, 89.5626, 10.0001, 0.000179234, 0.141582 
-5.0191, -9.73529, 89.5626, 10.0013, 0.000169579, 0.128105 
-5.0191, -10.3235, 89.5626, 10.0023, 0.000292436, 0.090165 
-5.0191, -10.9118, 89.5626, 10.0024, 0.000257839, 0.0162283 
-5.0191, -11.5, 89.5626, 10.0028, 0.00034506, -0.0694115 
-5.0191, 1.5, 89.5626, 10.0006, -0.000248011, -0.0492144 
-5.0191, 2.08824, 89.5626, 10.0005, -0.00020942, -0.0407838 
-5.0191, 2.67647, 89.5626, 10.0004, -0.000188155, -0.0344791 
-5.0191, 3.26471, 89.5626, 10.0003, -0.000170959, -0.0296912 
-5.0191, 3.85294, 89.5626, 10.0002, -0.000157564, -0.0259419 
-5.0191, 4.44118, 89.5626, 10.0002, -0.000146064, -0.0229682 
-5.0191, 5.02941, 89.5626, 10.0001, -0.000135711, -0.0205515 
-5.0191, 5.61765, 89.5626, 10.0001, -0.000126096, -0.0185858 
-5.0191, 6.20588, 89.5626, 10.0001, -0.000116843, -0.0169587 
-5.0191, 6.79412, 89.5626, 10.0001, -0.000107765, -0.0155948 
-5.0191, 7.38235, 89.5626, 10.0001, -9.87916e-05, -0.0144476 
-5.0191, 7.97059, 89.5626, 10.0001, -8.96889e-05, -0.0134832 
-5.0191, 8.55882, 89.5626, 10, -8.06517e-05, -0.0126805 
-5.0191, 9.14706, 89.5626, 10, -7.13666e-05, -0.0120035 
-5.0191, 9.73529, 89.5626, 10, -6.2053e-05, -0.0114443 
-5.0191, 10.3235, 89.5626, 10, -5.26433e-05, -0.0109845 
-5.0191, 10.9118, 89.5626, 10, -4.29358e-05, -0.0106119 
-5.0191, 11.5, 89.5626, 10, -3.35421e-05, -0.0103264 
